[4/20/21 6:59 PM]|JDBCBroker|JDBCBroker|Error|NOTAG|null<Could not load driver class[com.mysql.jdbc.Driver]>
[4/20/21 7:03 PM]|Worker|insertPersistentState|Error|NOTAG|null<SQL Exception: 0: Data truncation: Data too long for column 'contactPhone' at row 1>
[4/20/21 7:11 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')' at line 1>
[4/20/21 7:13 PM]|Book|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ')' at line 1>
[4/21/21 3:05 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'sdaffdsfsda' in 'where clause'>
[4/21/21 3:05 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'safdsafd' in 'where clause'>
[4/21/21 3:05 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'sfdadsafdsa' in 'where clause'>
[4/21/21 3:05 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'safddsaf' in 'where clause'>
[4/21/21 3:05 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsfdsafdsa' in 'where clause'>
[4/21/21 3:05 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsfdsa' in 'where clause'>
[4/21/21 3:05 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsfdsafdsafasd' in 'where clause'>
[4/21/21 3:06 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'sdafdsafdsafasdf' in 'where clause'>
[4/21/21 3:14 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'afdsdsfas' in 'where clause'>
[4/21/21 3:15 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsafdsaf' in 'where clause'>
[4/21/21 3:15 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsafdsaf' in 'where clause'>
[4/21/21 3:27 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsadsaf' in 'where clause'>
[4/21/21 3:27 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsfsadfdsa' in 'where clause'>
[4/21/21 3:27 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'sdfdsfdsaf' in 'where clause'>
[4/21/21 3:27 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsdsafdsa' in 'where clause'>
[4/21/21 3:27 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsafdsf' in 'where clause'>
[4/21/21 3:27 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsafdsafdsa' in 'where clause'>
[4/21/21 3:27 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsafdsafdsafds' in 'where clause'>
[4/21/21 3:30 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fsaddsf' in 'where clause'>
[4/21/21 3:39 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'xddcdcdc' in 'where clause'>
[4/21/21 3:45 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsaddsafsadfsad' in 'where clause'>
